date,open,high,low,close,volume
2020-01-02,5.96875,5.99775,5.918,5.99775,9507150320
2020-01-03,5.8774999999999995,5.94575,5.8525,5.90175,8230892720
2020-01-06,5.808,5.93175,5.781750000000001,5.9265,10516499080
2020-01-07,5.955,6.04425,5.90975,5.9982500000000005,12768230280
2020-01-08,5.994,6.051,5.953725,6.0095,11089627080
2020-01-09,6.0962499999999995,6.14825,6.021375,6.0755,10217684680
2020-01-10,6.18325,6.21375,6.09375,6.108,12658495880
2020-01-13,6.1915,6.3247,6.16875,6.2995,12813523080
2020-01-14,6.2565,6.282,6.16875,6.182,14383172640
2020-01-15,6.19475,6.217225,6.11325,6.13925,10524217480
2020-01-16,6.193,6.2292499999999995,6.1693750000000005,6.22325,11367667080
2020-01-17,6.2425,6.25,6.1842500000000005,6.232,10151622280
2020-01-21,6.195125,6.23225,6.16425,6.1985,8716679920
2020-01-22,6.244,6.33975,6.225,6.251250000000001,9569547120
2020-01-23,6.293,6.33,6.20375,6.3215,9780577520
2020-01-24,6.4375,6.4875,6.2075000000000005,6.262,14940542240
2020-01-27,5.956,6.05625,5.80575,6.005,18821359800
2020-01-28,6.07125,6.23175,6.01785,6.19925,12439041480
2020-01-29,6.184749999999999,6.221,6.0985,6.1385,10378046280
2020-01-30,6.04025,6.1587499999999995,5.985,6.14525,11620142280
2020-01-31,6.09925,6.11125,5.86875,5.91075,14816788640
2020-02-03,5.8925,6.027775,5.8862499999999995,6.00825,10237127880
2020-02-04,6.15075,6.1975,6.1005,6.17825,10861742280
2020-02-05,6.29975,6.3100000000000005,6.18525,6.269,8328803120
2020-02-06,6.3035,6.35625,6.2219999999999995,6.3561250000000005,8731281520
2020-02-07,6.316,6.33825,6.2643,6.28975,7590084720
2020-02-10,6.3125,6.575,6.3075,6.574250000000001,21184303800
2020-02-11,6.683,6.8125,6.620749999999999,6.6972499999999995,25542271760
2020-02-12,6.750249999999999,6.82,6.711175,6.8135,14985788640
2020-02-13,6.755249999999999,6.837000000000001,6.72775,6.769499999999999,21120607800
2020-02-14,7.1815,7.374250000000001,7.15,7.244750000000001,41676943600
2020-02-18,7.1411,7.43275,7.1215,7.41425,24875249360
2020-02-19,7.53725,7.885250000000001,7.53715,7.8675,27773246120
2020-02-20,7.819125,7.9079999999999995,7.40875,7.717499999999999,32402015680
2020-02-21,7.60475,7.63,7.266500000000001,7.35175,30771727680
2020-02-24,6.75475,7.0468,6.7,6.831999999999999,34276590040
2020-02-25,6.9075999999999995,6.96975,6.449,6.5512500000000005,42219901960
2020-02-26,6.5515,6.8862499999999995,6.55,6.691249999999999,29986462120
2020-02-27,6.3725000000000005,6.675,6.22225,6.3149999999999995,36256590040
2020-02-28,6.061375,6.8115,6.04475,6.7517499999999995,45387009160
2020-03-02,6.922499999999999,6.939749999999999,6.525,6.91075,35629825240
2020-03-03,6.9666749999999995,7.02675,6.5615,6.64725,26111729320
2020-03-04,6.755,7.122249999999999,6.68,7.11275,23896286160
2020-03-05,6.9125,7.08,6.7875,6.83225,21613105400
2020-03-06,6.651999999999999,6.70975,6.45,6.651000000000001,20616495800
2020-03-09,5.9975000000000005,6.484999999999999,5.9545,6.136,24566335760
2020-03-10,6.413500000000001,6.526999999999999,6.14975,6.526999999999999,23225950160
2020-03-11,6.386375,6.415000000000001,6.0642499999999995,6.16175,20082703800
2020-03-12,5.6365,5.902975,5.3950000000000005,5.40775,32661662080
2020-03-13,5.7625,6.0255,5.4902500000000005,6.021,25393502160
2020-03-16,5.31025,5.6525,4.85,4.91,29078881320
2020-03-17,5.02275,5.5215000000000005,4.775,5.43175,33345281280
2020-03-18,5.002375,5.2485,4.517025,5.0705,34970655640
2020-03-19,5.049,5.41825,4.83475,5.32425,30620559680
2020-03-20,5.475,5.758,5.1282499999999995,5.14375,32185359680
2020-03-23,5.14275,5.412,4.963,5.31725,25754993360
2020-03-24,5.725,6.3165,5.70125,6.2295,44065762760
2020-03-25,6.345000000000001,6.5455,6.0915,6.1405,31737231680
2020-03-26,6.3485,6.5555,6.25,6.431,27903502120
2020-03-27,6.25,6.5779499999999995,6.2170000000000005,6.31825,25553182160
2020-03-30,6.384,6.648999999999999,6.33975,6.639749999999999,24089999760
2020-03-31,6.68,6.885,6.44375,6.590000000000001,37998415640
2020-04-01,6.39125,6.53825,6.032,6.07675,26276527720
2020-04-02,6.106,6.4,6.05775,6.38675,27030574120
2020-04-03,6.349,6.39075,5.95975,6.09775,26528562920
2020-04-06,6.381,6.747,6.32325,6.709999999999999,28704479720
2020-04-07,6.9325,6.95625,6.4325,6.47575,31380881280
2020-04-08,6.58525,6.6987499999999995,6.515000000000001,6.67375,21697777400
2020-04-09,6.8,6.823,6.5105,6.5737499999999995,21049919800
2020-04-13,6.51375,6.755,6.425,6.746250000000001,15936291040
2020-04-14,6.875,7.133,6.847225,7.09875,21237871800
2020-04-15,6.93,7.104175,6.8845,7.020999999999999,14645953440
2020-04-16,7.177,7.475,7.16375,7.3675,29824815720
