date,open,high,low,close,volume
2020-01-02,28.3,28.7133,28.113999999999997,28.684,2144722500
2020-01-03,29.366699999999998,30.2667,29.128,29.534,4000162500
2020-01-06,29.364700000000003,30.104,29.3333,30.102700000000002,2279925000
2020-01-07,30.759999999999998,31.442,30.224,31.270699999999998,4023472500
2020-01-08,31.58,33.2327,31.2153,32.8093,7007467500
2020-01-09,33.14,33.2533,31.5247,32.0893,6399090000
2020-01-10,32.119299999999996,32.3293,31.58,31.876700000000003,2915887500
2020-01-13,32.9,35.042,32.8,34.9907,5966460000
2020-01-14,36.284,36.494,34.9933,35.8613,6524145000
2020-01-15,35.3173,35.856,34.4527,34.5667,3907980000
2020-01-16,32.9167,34.2973,32.8113,34.2327,4890757500
2020-01-17,33.8407,34.378,33.544000000000004,34.033300000000004,3066547500
2020-01-21,35.35,36.572,35.2273,36.480000000000004,4005787500
2020-01-22,38.126,39.6333,37.2733,37.9707,7058025000
2020-01-23,37.6167,38.8,37.04,38.1467,4421475000
2020-01-24,38.042,38.2573,36.9507,37.654700000000005,3229560000
2020-01-27,36.1327,37.62929999999999,35.952,37.201299999999996,3061822500
2020-01-28,37.899300000000004,38.45399999999999,37.2053,37.7933,2652412500
2020-01-29,38.37929999999999,39.32,37.828700000000005,38.7327,4005337500
2020-01-30,42.1613,43.392,41.2,42.7207,6526282500
2020-01-31,42.6667,43.533300000000004,42.168,43.3713,3536842500
2020-02-03,44.9127,52.4093,44.9013,52.0,10589625000
2020-02-04,58.864000000000004,64.5993,55.592,59.137299999999996,13711230000
2020-02-05,54.884,56.3987,46.9407,48.980000000000004,10895355000
2020-02-06,46.6613,53.0553,45.8,49.9307,8973180000
2020-02-07,48.7033,51.3167,48.6667,49.8713,3839287500
2020-02-10,53.3333,54.666000000000004,50.16,51.418699999999994,5555070000
2020-02-11,51.2527,52.234,50.533300000000004,51.6253,2631937500
2020-02-12,51.858,52.65,50.8913,51.152699999999996,2705062500
2020-02-13,49.456,54.533300000000004,49.0,53.6,5915092500
2020-02-14,52.481300000000005,54.198,52.3667,53.3353,3531082500
2020-02-18,56.106700000000004,57.3333,55.4907,57.2267,3685882500
2020-02-19,61.5667,62.9853,60.068,61.1613,5720175000
2020-02-20,60.7967,60.8,57.329299999999996,59.960699999999996,3967852500
2020-02-21,60.4653,60.87070000000001,58.6967,60.0667,3220830000
2020-02-24,55.9333,57.5667,54.8133,55.586,3418245000
2020-02-25,56.6,57.106700000000004,52.466699999999996,53.3273,3890362500
2020-02-26,52.1667,54.2207,51.7407,51.919999999999995,3169237500
2020-02-27,48.6667,49.318,44.6,45.2667,5462370000
2020-02-28,41.980000000000004,46.0347,40.768,44.5327,5450152500
2020-03-02,47.4173,49.579299999999996,45.778,49.5747,4543875000
2020-03-03,53.6667,53.798700000000004,47.7407,49.7007,5801400000
2020-03-04,50.9307,51.1013,48.3153,49.966699999999996,3386025000
2020-03-05,48.2513,49.716699999999996,47.8713,48.302699999999994,2441857500
2020-03-06,46.0,47.1333,45.618,46.8987,2849152500
2020-03-09,40.3593,44.2,40.3333,40.533300000000004,3841582500
2020-03-10,43.961999999999996,44.533300000000004,40.533300000000004,43.022000000000006,3508740000
2020-03-11,42.68,43.572,40.8667,42.282000000000004,2997562500
2020-03-12,38.726,39.6333,36.4167,37.37,4254547500
2020-03-13,39.6667,40.5047,33.466699999999996,36.4413,5094067500
2020-03-16,31.3,32.9913,29.478,29.6713,4610137500
2020-03-17,29.334,31.4567,26.4,28.68,5398785000
2020-03-18,25.9333,26.9907,23.3673,24.0813,5351895000
2020-03-19,24.98,30.133300000000002,23.897299999999998,28.5093,6793987500
2020-03-20,29.2133,31.8,28.386000000000003,28.502,6364237500
2020-03-23,28.9067,29.4667,27.366699999999998,28.9527,3702262500
2020-03-24,31.82,34.246,31.6,33.6667,5151420000
2020-03-25,36.35,37.1333,34.074,35.95,4775107500
2020-03-26,36.4927,37.3333,34.15,35.210699999999996,3910657500
2020-03-27,33.6667,35.0533,32.9353,34.2907,3234915000
2020-03-30,34.0173,34.4433,32.7487,33.4753,2699572500
