group,current_pnl,candidate_pnl,delta_pnl,candidate_trades,candidate_wins,candidate_losses,candidate_win_rate
swing,14812.7,40422.17,25609.47,200,174,25,87.44
monthly,17796.15,43017.95,25221.8,168,155,12,92.81
