period,start_date,end_date,key,label,portfolio_value,pnl,period_return_pct,annual_return_pct,max_drawdown_pct,trades,closed,open,wins,losses,win_rate,avg_win_pct,avg_loss_pct
2024 - تدريب,2024-01-01,2024-12-31,next_high_0_5pct,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 0.5 بالمئة,24151.6,14151.6,141.52,141.66,-7.11,149,149,0,132,17,88.59,3.4,-6.28
2024 - تدريب,2024-01-01,2024-12-31,next_high_1_0pct,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1 بالمئة,23776.59,13776.59,137.77,137.91,-7.06,147,147,0,130,17,88.44,3.5,-6.28
2024 - تدريب,2024-01-01,2024-12-31,next_high_1_5pct,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1.5 بالمئة,24139.09,14139.09,141.39,141.54,-7.06,143,143,0,125,18,87.41,3.69,-6.17
2024 - تدريب,2024-01-01,2024-12-31,next_high_1_8pct,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1.8 بالمئة,23708.66,13708.66,137.09,137.23,-5.76,144,142,2,122,20,85.92,3.81,-6.33
2024 - تدريب,2024-01-01,2024-12-31,next_high_2_0pct,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 2 بالمئة,21591.09,11591.09,115.91,116.02,-7.19,142,140,2,116,24,82.86,3.96,-6.4
2024 - تدريب,2024-01-01,2024-12-31,next_high_3_0pct,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 3 بالمئة,19945.5,9945.5,99.45,99.55,-12.97,141,139,2,109,30,78.42,4.35,-6.21
2024 - تدريب,2024-01-01,2024-12-31,next_high_4_0pct,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 4 بالمئة,18748.59,8748.59,87.49,87.57,-17.01,137,135,2,99,36,73.33,5.01,-5.92
2024 - تدريب,2024-01-01,2024-12-31,next_high_5_0pct,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 5 بالمئة,19807.08,9807.08,98.07,98.16,-16.7,136,134,2,98,36,73.13,5.11,-5.92
