cash,date,open_trades,value
10000.0,2024-01-02,0,10000.0
10000.0,2024-01-03,0,10000.0
10000.0,2024-01-04,0,10000.0
10000.0,2024-01-05,0,10000.0
10000.0,2024-01-08,0,10000.0
10000.0,2024-01-09,0,10000.0
10000.0,2024-01-10,0,10000.0
10000.0,2024-01-11,0,10000.0
10000.0,2024-01-12,0,10000.0
10000.0,2024-01-16,0,10000.0
10000.0,2024-01-17,0,10000.0
10000.0,2024-01-18,0,10000.0
10000.0,2024-01-19,0,10000.0
10000.0,2024-01-22,0,10000.0
10000.0,2024-01-23,0,10000.0
10000.0,2024-01-24,0,10000.0
10000.0,2024-01-25,0,10000.0
10000.0,2024-01-26,0,10000.0
10000.0,2024-01-29,0,10000.0
10000.0,2024-01-30,0,10000.0
10000.0,2024-01-31,0,10000.0
10000.0,2024-02-01,0,10000.0
10000.0,2024-02-02,0,10000.0
10000.0,2024-02-05,0,10000.0
10000.0,2024-02-06,0,10000.0
10000.0,2024-02-07,0,10000.0
10000.0,2024-02-08,0,10000.0
10000.0,2024-02-09,0,10000.0
10000.0,2024-02-12,0,10000.0
10000.0,2024-02-13,0,10000.0
10000.0,2024-02-14,0,10000.0
10000.0,2024-02-15,0,10000.0
10000.0,2024-02-16,0,10000.0
10000.0,2024-02-20,0,10000.0
10000.0,2024-02-21,0,10000.0
10000.0,2024-02-22,0,10000.0
10000.0,2024-02-23,0,10000.0
10000.0,2024-02-26,0,10000.0
10000.0,2024-02-27,0,10000.0
10000.0,2024-02-28,0,10000.0
10000.0,2024-02-29,0,10000.0
3743.93,2024-03-01,2,10000.0
2330.23,2024-03-04,3,10226.19
3879.84,2024-03-05,2,10217.94
1467.62,2024-03-06,4,10471.4
3915.02,2024-03-07,2,10849.34
10655.52,2024-03-08,0,10655.52
10655.52,2024-03-11,0,10655.52
6471.87,2024-03-12,1,10655.52
6471.87,2024-03-13,1,10549.39
2432.61,2024-03-14,3,10544.86
2988.8,2024-03-15,3,10415.03
4966.81,2024-03-18,2,10522.73
4966.81,2024-03-19,2,10549.04
1479.55,2024-03-20,4,10687.78
11360.44,2024-03-21,0,11360.44
11360.44,2024-03-22,0,11360.44
11360.44,2024-03-25,0,11360.44
11360.44,2024-03-26,0,11360.44
11360.44,2024-03-27,0,11360.44
11360.44,2024-03-28,0,11360.44
6960.28,2024-04-01,1,11360.44
6960.28,2024-04-02,1,11249.08
6960.28,2024-04-03,1,11298.76
11088.28,2024-04-04,0,11088.28
6729.67,2024-04-05,1,11088.28
6729.67,2024-04-08,1,11082.34
4153.61,2024-04-09,2,11131.87
11201.64,2024-04-10,0,11201.64
11201.64,2024-04-11,0,11201.64
11201.64,2024-04-12,0,11201.64
11201.64,2024-04-15,0,11201.64
4056.84,2024-04-16,2,11201.64
11415.99,2024-04-17,0,11415.99
4186.95,2024-04-18,2,11415.99
11632.86,2024-04-19,0,11632.86
1586.26,2024-04-22,4,11632.86
11967.76,2024-04-23,0,11967.76
11967.76,2024-04-24,0,11967.76
11967.76,2024-04-25,0,11967.76
11967.76,2024-04-26,0,11967.76
11967.76,2024-04-29,0,11967.76
11967.76,2024-04-30,0,11967.76
11967.76,2024-05-01,0,11967.76
7234.19,2024-05-02,1,11967.76
12157.1,2024-05-03,0,12157.1
12157.1,2024-05-06,0,12157.1
12157.1,2024-05-07,0,12157.1
12157.1,2024-05-08,0,12157.1
12157.1,2024-05-09,0,12157.1
7295.73,2024-05-10,1,12157.1
12302.94,2024-05-13,0,12302.94
12302.94,2024-05-14,0,12302.94
12302.94,2024-05-15,0,12302.94
4501.14,2024-05-16,2,12302.94
12527.31,2024-05-17,0,12527.31
12527.31,2024-05-20,0,12527.31
12527.31,2024-05-21,0,12527.31
12527.31,2024-05-22,0,12527.31
4565.82,2024-05-23,2,12527.31
4657.66,2024-05-24,2,12736.06
4828.38,2024-05-28,2,13151.82
7934.46,2024-05-29,1,13011.72
7934.46,2024-05-30,1,13083.41
12876.09,2024-05-31,0,12876.09
12876.09,2024-06-03,0,12876.09
12876.09,2024-06-04,0,12876.09
713.79,2024-06-05,6,12876.09
6173.26,2024-06-06,4,12913.33
6173.26,2024-06-07,4,12931.66
12419.04,2024-06-10,1,13113.74
13124.02,2024-06-11,0,13124.02
4795.94,2024-06-12,2,13124.02
13623.7,2024-06-13,0,13623.7
13623.7,2024-06-14,0,13623.7
13623.7,2024-06-17,0,13623.7
13623.7,2024-06-18,0,13623.7
8284.96,2024-06-20,1,13623.7
8284.96,2024-06-21,1,13605.55
13677.09,2024-06-24,0,13677.09
5030.82,2024-06-25,2,13677.09
10454.31,2024-06-26,1,13731.27
13763.55,2024-06-27,0,13763.55
13763.55,2024-06-28,0,13763.55
5159.29,2024-07-01,2,13763.55
3322.89,2024-07-02,3,14623.98
3348.28,2024-07-03,3,14998.14
3616.84,2024-07-05,3,15418.3
3507.8,2024-07-08,3,15832.51
3585.96,2024-07-09,3,16080.38
10073.52,2024-07-10,1,16512.12
16576.51,2024-07-11,0,16576.51
9953.41,2024-07-12,1,16576.51
9953.41,2024-07-15,1,16577.41
16708.97,2024-07-16,0,16708.97
16708.97,2024-07-17,0,16708.97
16708.97,2024-07-18,0,16708.97
6120.49,2024-07-19,2,16708.97
6107.44,2024-07-22,2,16920.74
10219.75,2024-07-23,1,16841.61
16536.7,2024-07-24,0,16536.7
16536.7,2024-07-25,0,16536.7
16536.7,2024-07-26,0,16536.7
16536.7,2024-07-29,0,16536.7
16536.7,2024-07-30,0,16536.7
3713.16,2024-07-31,3,16536.7
17107.66,2024-08-01,0,17107.66
17107.66,2024-08-02,0,17107.66
10328.23,2024-08-05,1,17107.66
10430.55,2024-08-06,1,17311.05
6482.61,2024-08-07,2,17586.27
10874.7,2024-08-08,1,18030.42
10874.7,2024-08-09,1,17960.22
10874.7,2024-08-12,1,17954.37
18388.21,2024-08-13,0,18388.21
18388.21,2024-08-14,0,18388.21
18388.21,2024-08-15,0,18388.21
18388.21,2024-08-16,0,18388.21
11090.05,2024-08-19,1,18388.21
18680.14,2024-08-20,0,18680.14
18680.14,2024-08-21,0,18680.14
18680.14,2024-08-22,0,18680.14
6754.7,2024-08-23,2,18680.14
