group,current_pnl,candidate_pnl,delta_pnl,candidate_trades,candidate_wins,candidate_losses
MRVL,10734.73,44937.76,34203.03,106,88,18
AVGO,2939.34,29516.36,26577.02,84,70,14
ANET,6090.93,30245.81,24154.88,70,56,12
NVDA,9652.67,28927.53,19274.86,64,61,3
TSLA,6212.07,21583.01,15370.94,64,62,2
AMD,5207.58,19054.83,13847.25,66,60,6
LRCX,4238.53,16647.16,12408.63,48,41,7
PANW,3439.1,13350.96,9911.86,46,42,4
SHOP,4464.21,14206.33,9742.12,56,48,8
