id,ticker,strategy_source,strategy_id,behavior,entry_rule,timeframe,selected_version,status,outcome,entry_date,entry_price,shares,capital,avg_dollar_volume,liquidity_cap,technical_initial_stop_price,initial_stop_price,stop_price,highest_price,exit_price,hold_days,held_sessions,latest_price,market_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,close_date,close_time_et,close_price,close_reason
E5M-0087,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-07-05,171.9,37,6360.3,7985105465.06,79851054.65,159.5486,159.5486,177.057,177.62,180.495,10,1,171.9,0.0,0.0,-0.0,190.81,3.0,2024-07-08,09:35:00,177.057,5m trailing/technical stop
E5M-0088,TSLA,V3,TSLA_swing_raw_breakout_55_4_10_40_none,raw_breakout_swing,raw_breakout,swing,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-05,251.52,15,3772.8,19019687014.66,190196870.15,232.2657,232.2657,254.0352,254.14,261.5808,10,1,251.52,0.0,0.0,0.0,37.73,1.0,2024-07-08,10:10:00,254.0352,5m trailing/technical stop
E5M-0089,TSLA,V3,TSLA_monthly_raw_breakout_55_6_10_40_none,raw_breakout_monthly,raw_breakout,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-05,251.52,9,2263.68,19019687014.66,190196870.15,222.6386,222.6386,254.0352,254.14,266.6112,10,1,251.52,0.0,0.0,0.0,22.64,1.0,2024-07-08,10:10:00,254.0352,5m trailing/technical stop
E5M-0090,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-07-08,178.69,36,6432.84,8129956738.29,81299567.38,165.8643,165.8643,180.4769,181.25,187.6245,10,2,177.1,0.0,0.0,-0.89,64.33,1.0,2024-07-10,09:35:00,180.4769,5m trailing/technical stop
E5M-0091,TSLA,V3,TSLA_swing_raw_breakout_55_4_10_40_none,raw_breakout_swing,raw_breakout,swing,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-08,252.94,15,3794.1,20386258667.53,203862586.68,232.8586,232.8586,255.4694,256.19,263.0576,10,1,252.94,0.0,0.0,0.0,37.94,1.0,2024-07-09,09:45:00,255.4694,5m trailing/technical stop
E5M-0092,TSLA,V3,TSLA_monthly_raw_breakout_55_6_10_40_none,raw_breakout_monthly,raw_breakout,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-08,252.94,9,2276.46,20386258667.53,203862586.68,222.8179,222.8179,255.4694,256.19,268.1164,10,1,252.94,0.0,0.0,0.0,22.76,1.0,2024-07-09,09:45:00,255.4694,5m trailing/technical stop
E5M-0093,TSLA,V3,TSLA_swing_raw_breakout_55_4_10_40_none,raw_breakout_swing,raw_breakout,swing,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-09,262.33,15,3934.95,21988547599.23,219885475.99,241.7486,241.7486,264.9533,265.72,272.8232,10,1,262.33,0.0,0.0,-0.0,39.35,1.0,2024-07-10,09:45:00,264.9533,5m trailing/technical stop
E5M-0094,TSLA,V3,TSLA_monthly_raw_breakout_55_6_10_40_none,raw_breakout_monthly,raw_breakout,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-09,262.33,9,2360.97,21988547599.23,219885475.99,231.4578,231.4578,264.9533,265.72,278.0698,10,1,262.33,0.0,0.0,-0.0,23.61,1.0,2024-07-10,09:45:00,264.9533,5m trailing/technical stop
E5M-0095,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-07-10,183.96,36,6622.56,8427618164.92,84276181.65,170.3714,170.3714,185.7996,187.11,193.158,10,1,183.96,0.0,0.0,0.0,66.23,1.0,2024-07-11,09:35:00,185.7996,5m trailing/technical stop
E5M-0096,MRVL,V3,MRVL_monthly_raw_pullback_3_3_6_25_none,raw_pullback_monthly,raw_pullback_reversal,monthly,v31_from_v3:v3_raw_rebuild,CLOSED,TRAILING_WIN,2024-07-12,73.59,90,6623.1,762985350.52,7629853.51,66.8,66.8,74.3259,74.35,78.0054,25,2,73.6,0.0,0.0,0.01,66.23,1.0,2024-07-16,09:45:00,74.3259,5m trailing/technical stop
