loss_delta,pnl_delta,ticker,v1_losses,v1_pnl,v1_trades,v2_losses,v2_pnl,v2_trades,winner
8,27429.84,AMD,0,0,0,8,27429.84,56,V1
4,8831.86,ANET,0,0,0,4,8831.86,37,V1
11,12260.62,AVGO,0,0,0,11,12260.62,51,V1
6,6307.05,LRCX,0,0,0,6,6307.05,40,V1
2,14608.04,MRVL,0,0,0,2,14608.04,34,V1
1,13424.48,NVDA,0,0,0,1,13424.48,60,V1
0,3718.65,PANW,0,0,0,0,3718.65,12,V2
3,6704.13,SHOP,0,0,0,3,6704.13,23,V1
1,11402.0,TSLA,0,0,0,1,11402.0,30,V1
