avg_loss_pct,closed_trades,losses,losses_improved,max_drawdown_pct,monthly_stop_cap_pct,pnl,portfolio_value,scenario,swing_stop_cap_pct,winners_reduced_by_early_stop,winners_turned_loss,wins,worst_loss_pct
-6.69,343,36,,-9.95,,108483.89,118483.89,baseline,,,,307,-16.15
-5.98,346,45,23,-9.35,10.0,93375.03,103375.03,shadow_tighter_stop,6.0,8,8,301,-10.0
