avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,close_time_et,entry_date,entry_price,entry_rule,exit_price,held_sessions,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,strategy_source,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,unrealized_pnl_pct
24427169401.81,اختراق,71917.95,2025-09-12,383.5624,تحقق الهدف - تنفيذ خمس دقائق,09:50:00,2025-09-11,368.81,قاعدة اختراق,383.5624,1,368.81,10,V31-0627,343.1837,368.81,244271694.02,0.0,WIN,2876.72,4.0,السياسة المعتمدة,195,CLOSED,,343.1837,TSLA_swing_breakout_approved,معتمد,343.1837,TSLA,swing,0.0,-0.0
24427169401.81,اختراق,43150.77,2025-09-12,390.9386,تحقق الهدف - تنفيذ خمس دقائق,10:25:00,2025-09-11,368.81,قاعدة اختراق,390.9386,1,368.81,10,V31-0628,330.3706,368.81,244271694.02,0.0,WIN,2589.05,6.0,السياسة المعتمدة,117,CLOSED,,330.3706,TSLA_monthly_breakout_approved,معتمد,330.3706,TSLA,monthly,0.0,-0.0
26814995862.35,اختراق,74040.78,2025-09-15,411.7776,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2025-09-12,395.94,قاعدة اختراق,411.7776,1,395.94,10,V31-0629,369.268,395.94,268149958.62,0.0,WIN,2961.63,4.0,السياسة المعتمدة,187,CLOSED,,369.268,TSLA_swing_breakout_approved,معتمد,369.268,TSLA,swing,0.0,0.0
26814995862.35,اختراق,44741.22,2025-09-15,419.6964,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2025-09-12,395.94,قاعدة اختراق,419.6964,1,395.94,10,V31-0630,355.9321,395.94,268149958.62,0.0,WIN,2684.47,6.0,السياسة المعتمدة,113,CLOSED,,355.9321,TSLA_monthly_breakout_approved,معتمد,355.9321,TSLA,monthly,0.0,0.0
28883410828.1,اختراق,76267.44,2025-09-17,422.3412,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-09-15,410.04,قاعدة اختراق,426.4416,2,423.25,10,V31-0631,381.1881,421.62,288834108.28,0.0,TRAILING_WIN,2288.02,3.0,السياسة المعتمدة,186,CLOSED,,422.3412,TSLA_swing_breakout_approved,معتمد,381.1881,TSLA,swing,0.0,2.82
28883410828.1,اختراق,45924.48,2025-09-17,422.3412,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-09-15,410.04,قاعدة اختراق,434.6424,2,423.25,10,V31-0632,366.7621,421.62,288834108.28,0.0,TRAILING_WIN,1377.73,3.0,السياسة المعتمدة,112,CLOSED,,422.3412,TSLA_monthly_breakout_approved,معتمد,366.7621,TSLA,monthly,0.0,2.82
31464987933.08,اختراق,77932.38,2025-09-19,430.1186,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-09-17,425.86,قاعدة اختراق,442.8944,2,432.2199,10,V31-0633,394.5169,416.85,314649879.33,0.0,TRAILING_WIN,779.32,1.0,السياسة المعتمدة,183,CLOSED,,430.1186,TSLA_swing_breakout_approved,معتمد,394.5169,TSLA,swing,0.0,-2.12
31464987933.08,اختراق,46844.6,2025-09-19,430.1186,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-09-17,425.86,قاعدة اختراق,451.4116,2,432.2199,10,V31-0634,378.8453,416.85,314649879.33,0.0,TRAILING_WIN,468.45,1.0,السياسة المعتمدة,110,CLOSED,,430.1186,TSLA_monthly_breakout_approved,معتمد,378.8453,TSLA,monthly,0.0,-2.12
33980130078.32,اختراق,78592.01,2025-09-24,438.5521,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-09-22,434.21,قاعدة اختراق,451.5784,2,439.7,10,V31-0635,401.6398,425.85,339801300.78,0.0,TRAILING_WIN,785.92,1.0,السياسة المعتمدة,181,CLOSED,,438.5521,TSLA_swing_breakout_approved,معتمد,401.6398,TSLA,swing,0.0,-1.93
33980130078.32,اختراق,46894.68,2025-09-24,438.5521,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-09-22,434.21,قاعدة اختراق,460.2626,2,439.7,10,V31-0636,385.3546,425.85,339801300.78,0.0,TRAILING_WIN,468.95,1.0,السياسة المعتمدة,108,CLOSED,,438.5521,TSLA_monthly_breakout_approved,معتمد,385.3546,TSLA,monthly,0.0,-1.93
