avg_loss,avg_return,avg_win,behavior,drop_pct,entry_rule,hold_days,initial_stop_pct,lookback,losses,ma_period,market_filter,max_drawdown,max_extension20,median_return,month_concentration,passes_quality,profit_factor,quality_score,rsi_cross_above,rsi_period,stop_model,strategy_id,target_pct,ticker,timeframe,total_return,trades,volume_filter,win_rate,wins,worst_return
-7.771145548857261,2.611714041012978,3.650000000000002,raw_breakout_swing,,raw_breakout,5,99,20,2,,none,-9.552543889498555,25,3.0000000000000027,20.685998461464276,True,4.696862228422335,71.45,,,atr_support,MRVL_swing_raw_breakout_20_4_5_25_none,4,MRVL,swing,73.3444643547096,22,1.0,90.9090909090909,20,-9.552543889498555
-7.771145548857261,2.8025090827080668,3.8095238095238115,raw_breakout_swing,,raw_breakout,5,99,20,2,,none,-9.552543889498555,40,3.0000000000000027,29.22615923499562,True,5.147246277723107,76.3,,,atr_support,MRVL_swing_raw_breakout_20_4_5_40_none,4,MRVL,swing,85.47857685953927,23,1.0,91.30434782608695,21,-9.552543889498555
-7.771145548857261,2.8025090827080668,3.8095238095238115,raw_breakout_swing,,raw_breakout,5,99,20,2,,none,-9.552543889498555,100,3.0000000000000027,29.22615923499562,True,5.147246277723107,76.3,,,atr_support,MRVL_swing_raw_breakout_20_4_5_100_none,4,MRVL,swing,85.47857685953927,23,1.0,91.30434782608695,21,-9.552543889498555
0.0,3.555555555555559,3.555555555555559,raw_breakout_swing,,raw_breakout,8,99,20,0,,none,0.0,25,3.0000000000000027,14.0625,True,64.00000000000006,113.78,,,atr_support,MRVL_swing_raw_breakout_20_4_8_25_none,4,MRVL,swing,86.78841891684282,18,1.0,100.0,18,1.0000000000000009
0.0,3.5789473684210558,3.5789473684210558,raw_breakout_swing,,raw_breakout,8,99,20,0,,none,0.0,40,3.0000000000000027,14.705882352941178,True,68.00000000000006,115.34,,,atr_support,MRVL_swing_raw_breakout_20_4_8_40_none,4,MRVL,swing,94.25995567351653,19,1.0,100.0,19,1.0000000000000009
0.0,3.5789473684210558,3.5789473684210558,raw_breakout_swing,,raw_breakout,8,99,20,0,,none,0.0,100,3.0000000000000027,14.705882352941178,True,68.00000000000006,115.34,,,atr_support,MRVL_swing_raw_breakout_20_4_8_100_none,4,MRVL,swing,94.25995567351653,19,1.0,100.0,19,1.0000000000000009
-10.117428068320688,2.153619103519925,3.6875000000000018,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-12.598203378701934,25,3.0000000000000027,16.66666666666667,True,2.915760784340964,52.38,,,atr_support,MRVL_swing_raw_breakout_20_4_10_25_none,4,MRVL,swing,43.52438495724782,18,1.0,88.88888888888889,16,-10.765233362554916
-10.117428068320688,2.1981654664925605,3.6470588235294135,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-12.598203378701934,40,3.0000000000000027,19.298245614035057,True,3.064019807273555,54.24,,,atr_support,MRVL_swing_raw_breakout_20_4_10_40_none,4,MRVL,swing,47.83011650596525,19,1.0,89.47368421052632,17,-10.765233362554916
-10.117428068320688,2.1981654664925605,3.6470588235294135,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-12.598203378701934,100,3.0000000000000027,19.298245614035057,True,3.064019807273555,54.24,,,atr_support,MRVL_swing_raw_breakout_20_4_10_100_none,4,MRVL,swing,47.83011650596525,19,1.0,89.47368421052632,17,-10.765233362554916
-9.469622774086462,2.595648576619599,3.400000000000003,raw_breakout_swing,,raw_breakout,13,99,20,1,,none,-9.469622774086462,25,3.0000000000000027,19.148936170212764,True,5.385642196810742,68.93,,,atr_support,MRVL_swing_raw_breakout_20_4_13_25_none,4,MRVL,swing,48.92508160459912,16,1.0,93.75,15,-9.469622774086462
-9.469622774086462,2.6194339544655048,3.375000000000003,raw_breakout_swing,,raw_breakout,13,99,20,1,,none,-9.469622774086462,40,3.0000000000000027,18.0,True,5.70244467897608,70.87,,,atr_support,MRVL_swing_raw_breakout_20_4_13_40_none,4,MRVL,swing,53.392834052737115,17,1.0,94.11764705882352,16,-9.469622774086462
-9.469622774086462,2.6194339544655048,3.375000000000003,raw_breakout_swing,,raw_breakout,13,99,20,1,,none,-9.469622774086462,100,3.0000000000000027,18.0,True,5.70244467897608,70.87,,,atr_support,MRVL_swing_raw_breakout_20_4_13_100_none,4,MRVL,swing,53.392834052737115,17,1.0,94.11764705882352,16,-9.469622774086462
-7.771145548857261,2.611714041012978,3.650000000000002,raw_breakout_swing,,raw_breakout,5,99,20,2,,none,-9.552543889498555,25,3.0000000000000027,20.685998461464276,True,4.696862228422335,71.45,,,atr_support,MRVL_swing_raw_breakout_20_5_5_25_none,5,MRVL,swing,73.3444643547096,22,1.0,90.9090909090909,20,-9.552543889498555
-7.771145548857261,2.8025090827080668,3.8095238095238115,raw_breakout_swing,,raw_breakout,5,99,20,2,,none,-9.552543889498555,40,3.0000000000000027,29.22615923499562,True,5.147246277723107,76.3,,,atr_support,MRVL_swing_raw_breakout_20_5_5_40_none,5,MRVL,swing,85.47857685953927,23,1.0,91.30434782608695,21,-9.552543889498555
-7.771145548857261,2.8025090827080668,3.8095238095238115,raw_breakout_swing,,raw_breakout,5,99,20,2,,none,-9.552543889498555,100,3.0000000000000027,29.22615923499562,True,5.147246277723107,76.3,,,atr_support,MRVL_swing_raw_breakout_20_5_5_100_none,5,MRVL,swing,85.47857685953927,23,1.0,91.30434782608695,21,-9.552543889498555
0.0,3.555555555555559,3.555555555555559,raw_breakout_swing,,raw_breakout,8,99,20,0,,none,0.0,25,3.0000000000000027,14.0625,True,64.00000000000006,113.78,,,atr_support,MRVL_swing_raw_breakout_20_5_8_25_none,5,MRVL,swing,86.78841891684282,18,1.0,100.0,18,1.0000000000000009
0.0,3.5789473684210558,3.5789473684210558,raw_breakout_swing,,raw_breakout,8,99,20,0,,none,0.0,40,3.0000000000000027,14.705882352941178,True,68.00000000000006,115.34,,,atr_support,MRVL_swing_raw_breakout_20_5_8_40_none,5,MRVL,swing,94.25995567351653,19,1.0,100.0,19,1.0000000000000009
0.0,3.5789473684210558,3.5789473684210558,raw_breakout_swing,,raw_breakout,8,99,20,0,,none,0.0,100,3.0000000000000027,14.705882352941178,True,68.00000000000006,115.34,,,atr_support,MRVL_swing_raw_breakout_20_5_8_100_none,5,MRVL,swing,94.25995567351653,19,1.0,100.0,19,1.0000000000000009
-10.117428068320688,2.153619103519925,3.6875000000000018,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-12.598203378701934,25,3.0000000000000027,16.66666666666667,True,2.915760784340964,52.38,,,atr_support,MRVL_swing_raw_breakout_20_5_10_25_none,5,MRVL,swing,43.52438495724782,18,1.0,88.88888888888889,16,-10.765233362554916
-10.117428068320688,2.1981654664925605,3.6470588235294135,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-12.598203378701934,40,3.0000000000000027,19.298245614035057,True,3.064019807273555,54.24,,,atr_support,MRVL_swing_raw_breakout_20_5_10_40_none,5,MRVL,swing,47.83011650596525,19,1.0,89.47368421052632,17,-10.765233362554916
-10.117428068320688,2.1981654664925605,3.6470588235294135,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-12.598203378701934,100,3.0000000000000027,19.298245614035057,True,3.064019807273555,54.24,,,atr_support,MRVL_swing_raw_breakout_20_5_10_100_none,5,MRVL,swing,47.83011650596525,19,1.0,89.47368421052632,17,-10.765233362554916
-9.469622774086462,2.595648576619599,3.400000000000003,raw_breakout_swing,,raw_breakout,13,99,20,1,,none,-9.469622774086462,25,3.0000000000000027,19.148936170212764,True,5.385642196810742,68.93,,,atr_support,MRVL_swing_raw_breakout_20_5_13_25_none,5,MRVL,swing,48.92508160459912,16,1.0,93.75,15,-9.469622774086462
-9.469622774086462,2.6194339544655048,3.375000000000003,raw_breakout_swing,,raw_breakout,13,99,20,1,,none,-9.469622774086462,40,3.0000000000000027,18.0,True,5.70244467897608,70.87,,,atr_support,MRVL_swing_raw_breakout_20_5_13_40_none,5,MRVL,swing,53.392834052737115,17,1.0,94.11764705882352,16,-9.469622774086462
-9.469622774086462,2.6194339544655048,3.375000000000003,raw_breakout_swing,,raw_breakout,13,99,20,1,,none,-9.469622774086462,100,3.0000000000000027,18.0,True,5.70244467897608,70.87,,,atr_support,MRVL_swing_raw_breakout_20_5_13_100_none,5,MRVL,swing,53.392834052737115,17,1.0,94.11764705882352,16,-9.469622774086462
-7.771145548857261,2.611714041012978,3.650000000000002,raw_breakout_swing,,raw_breakout,5,99,20,2,,none,-9.552543889498555,25,3.0000000000000027,20.685998461464276,True,4.696862228422335,71.45,,,atr_support,MRVL_swing_raw_breakout_20_6_5_25_none,6,MRVL,swing,73.3444643547096,22,1.0,90.9090909090909,20,-9.552543889498555
-7.771145548857261,2.8025090827080668,3.8095238095238115,raw_breakout_swing,,raw_breakout,5,99,20,2,,none,-9.552543889498555,40,3.0000000000000027,29.22615923499562,True,5.147246277723107,76.3,,,atr_support,MRVL_swing_raw_breakout_20_6_5_40_none,6,MRVL,swing,85.47857685953927,23,1.0,91.30434782608695,21,-9.552543889498555
