avg_loss,avg_return,avg_win,behavior,drop_pct,entry_rule,hold_days,initial_stop_pct,lookback,losses,ma_period,market_filter,max_drawdown,max_extension20,median_return,month_concentration,passes_quality,profit_factor,quality_score,rsi_cross_above,rsi_period,stop_model,strategy_id,target_pct,ticker,timeframe,total_return,trades,volume_filter,win_rate,wins,worst_return
-6.209180382272387,2.0219093443048743,3.785714285714288,raw_breakout_swing,,raw_breakout,5,99,20,3,,none,-12.395829126606817,25,1.0000000000000009,45.283018867924504,True,2.8452493854271257,50.36,,,atr_support,AVGO_swing_raw_breakout_20_4_5_25_none,4,AVGO,swing,35.96638009346942,17,1.0,82.35294117647058,14,-8.126842885985175
-6.209180382272387,2.0219093443048743,3.785714285714288,raw_breakout_swing,,raw_breakout,5,99,20,3,,none,-12.395829126606817,40,1.0000000000000009,45.283018867924504,True,2.8452493854271257,50.36,,,atr_support,AVGO_swing_raw_breakout_20_4_5_40_none,4,AVGO,swing,35.96638009346942,17,1.0,82.35294117647058,14,-8.126842885985175
-6.209180382272387,2.0219093443048743,3.785714285714288,raw_breakout_swing,,raw_breakout,5,99,20,3,,none,-12.395829126606817,100,1.0000000000000009,45.283018867924504,True,2.8452493854271257,50.36,,,atr_support,AVGO_swing_raw_breakout_20_4_5_100_none,4,AVGO,swing,35.96638009346942,17,1.0,82.35294117647058,14,-8.126842885985175
-5.7401096288310285,2.1737294445941835,4.000000000000002,raw_breakout_swing,,raw_breakout,8,99,20,3,,none,-12.395829126606806,25,1.5000000000000013,46.15384615384613,True,3.0196868098603318,51.29,,,atr_support,AVGO_swing_raw_breakout_20_4_8_25_none,4,AVGO,swing,36.57434466396536,16,1.0,81.25,13,-8.126842885985175
-5.7401096288310285,2.1737294445941835,4.000000000000002,raw_breakout_swing,,raw_breakout,8,99,20,3,,none,-12.395829126606806,40,1.5000000000000013,46.15384615384613,True,3.0196868098603318,51.29,,,atr_support,AVGO_swing_raw_breakout_20_4_8_40_none,4,AVGO,swing,36.57434466396536,16,1.0,81.25,13,-8.126842885985175
-5.7401096288310285,2.1737294445941835,4.000000000000002,raw_breakout_swing,,raw_breakout,8,99,20,3,,none,-12.395829126606806,100,1.5000000000000013,46.15384615384613,True,3.0196868098603318,51.29,,,atr_support,AVGO_swing_raw_breakout_20_4_8_100_none,4,AVGO,swing,36.57434466396536,16,1.0,81.25,13,-8.126842885985175
-6.23073243341244,2.7527525095125105,4.250000000000002,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-7.441864531766241,25,2.0000000000000018,47.05882352941175,True,4.092616762558395,67.32,,,atr_support,AVGO_swing_raw_breakout_20_4_10_25_none,4,AVGO,swing,42.14313819501556,14,1.0,85.71428571428571,12,-7.441864531766241
-6.23073243341244,2.7527525095125105,4.250000000000002,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-7.441864531766241,40,2.0000000000000018,47.05882352941175,True,4.092616762558395,67.32,,,atr_support,AVGO_swing_raw_breakout_20_4_10_40_none,4,AVGO,swing,42.14313819501556,14,1.0,85.71428571428571,12,-7.441864531766241
-6.23073243341244,2.7527525095125105,4.250000000000002,raw_breakout_swing,,raw_breakout,10,99,20,2,,none,-7.441864531766241,100,2.0000000000000018,47.05882352941175,True,4.092616762558395,67.32,,,atr_support,AVGO_swing_raw_breakout_20_4_10_100_none,4,AVGO,swing,42.14313819501556,14,1.0,85.71428571428571,12,-7.441864531766241
-6.734154417321631,2.887053166565905,4.6363636363636385,raw_breakout_swing,,raw_breakout,13,99,20,2,,none,-7.441864531766241,25,2.0000000000000018,47.05882352941175,True,3.7866669547120515,66.97,,,atr_support,AVGO_swing_raw_breakout_20_4_13_25_none,4,AVGO,swing,40.60904078508018,13,1.0,84.61538461538461,11,-7.441864531766241
